kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil . | (ac, tidak berfungsi optimal, negative); (wifi koneksi, kurang stabil, negative)
tempat nya bersih dan wangi . penjaga nya ramah . tempat parkir luas dan aman . | (tempat nya, bersih, positive); (tempat nya, wangi, positive); (penjaga nya, ramah, positive); (tempat parkir, luas, positive); (tempat parkir, aman, positive)
pelayanan yang baik , kamar bersih . | (pelayanan, baik, positive); (kamar, bersih, positive)
kamarnya bersih dan nyaman . bisa jadi pilihan kalau cari penginapan murah di ambon . | (kamarnya, bersih, positive); (kamarnya, nyaman, positive)
lumayan untuk budget hotel . | 
letak stategis kamar oke pelayanan juga oke yang paling penting dekat dari tempat haul sekumpul . | (letak, stategis, positive); (kamar, oke, positive); (pelayanan, oke, positive)
secara keseluruhan , hotel cukup bersih dengan pelayanan yang baik . namun , mati listrik beberapa kali . | (hotel, cukup bersih, positive); (pelayanan, baik, positive); (listrik, mati, negative)
kamar sempit , ac tidak dingin , berisik . | (kamar, sempit, negative); (ac, tidak dingin, negative)
ruangan unik , minimalis . kebersihan baik . | (ruangan, unik, positive); (ruangan, minimalis, positive); (kebersihan, baik, positive)
tidak bisa check in lebih dari jam 12 malam , dan tidak ada resepsionis yang jaga . | (resepsionis yang jaga, tidak ada, negative)
kamar nyaman , pelayanan oke . recom bangett . | (kamar, nyaman, positive); (pelayanan, oke, positive)
bersih dan nyaman . | 
kamar lumayan , ac cukupan , kamar mandi ada air agak hangat . cuma sayang di kamar single standar tanpa pemandangan itu tidak ada sinyal hp ( karena di bassement ) dan parah nya lagi sinyal wifi juga tidak sampai . jadi komunikasi luar terputus . | (kamar, lumayan, positive); (ac, cukupan, positive); (air, agak hangat, positive); (sinyal hp, tidak ada, negative); (wifi, tidak sampai, negative)
kamarnya bersih , pelayanan ramah . oke karena ada kolam renangnya . sayang menu sarapan kurang bervariasi . | (kamarnya, bersih, positive); (pelayanan, ramah, positive); (kolam renangnya, ada, positive); (menu sarapan, kurang bervariasi, negative)
sangat direkomendasikan untuk tinggal disini , bersih , sunyi dan tenang , dapat welcome snack dan ibunya so friendly . bintang 5 deh . | (welcome snack, dapat, positive); (ibunya, friendly, positive)
di room nya kurang terminal listrik buat hp , terimakasih . | (terminal listrik, kurang, negative)
sangat memuaskan . liburan bersama keluarga dan orang tua . anak sangat senang karena bisa main di kolam renang . | 
beberapa kali menginap ( returning guests ) baru kali ini dikecewakan secara berturut , 1 ) . pintu kamar dipaksa buka dengan alasan tidak tahu kalau kamar bersangkutan sudah terisi ( occupied ) yang jelas 2 di front office kunci kamar yang kamu sewa tidak ada 2 ) . | (kunci kamar, tidak ada 2, negative)
bersih banget , kamar mandi bersih , kasur tv dan ada snacknya , senang banget menginap disini , bakal jadi langganan . | (kamar mandi, bersih, positive); (snacknya, ada, positive)
kamar sangat bagus untuk biaya ekonomis . rekomen banget . | (kamar, sangat bagus, positive)
hotel ekonomis , harga murah , kebersihan cukup . | (hotel, ekonomis, positive); (harga, murah, positive); (kebersihan, cukup, positive)
kamar nyaman , hanya stafnya di bawah berisik , . | (kamar, nyaman, positive); (stafnya, berisik, negative)
baru pertama x menginap di airy rooms , staf nya ramah dan pelayanan nya pun cukup baik , kamar bersih dan nyaman dan dapat snack juga dari airy rooms . terimakasih airy rooms . | (staf nya, ramah, positive); (pelayanan nya, cukup baik, positive); (kamar, bersih, positive); (kamar, nyaman, positive); (snack, dapat, positive)
lokasi yang strategis , gampang cari makan dekat dengan alfamart . | (lokasi, strategis, positive); (lokasi, dekat, positive)
hotelnya sudah agak tua dan belum di renov , jadi kamarnya tidak sesuai gambar . | (hotelnya, agak tua, negative); (hotelnya, belum di renov, negative); (kamarnya, tidak sesuai gambar, negative)
nyaman , dapat sarapan . minus parkir mobil padat . | (sarapan, dapat, positive); (parkir mobil, padat, negative)
kamar kotor tidak ada handuk dan keset . | (kamar, kotor, negative); (handuk, tidak ada, negative); (keset, tidak ada, negative)
tempatnya tenang . hanya parkiran kurang nyaman . swimmimg pool kurang untuk kids . | (tempatnya, tenang, positive); (parkiran, kurang nyaman, negative); (swimmimg pool, kurang, negative)
pelayanan ramah tempat parkir luas kamar bersih dan wangi kekurangnya akses jalan menuju lokasi gang sempit jadi sering kesulitan kalau ada 2 mobil berhadapan . | (pelayanan, ramah, positive); (tempat parkir, luas, positive); (kamar, bersih, positive); (kamar, wangi, positive)
overall baik . | (overall, baik, positive)
tempat nya nyaman . | (tempat nya, nyaman, positive)
naik ke lantai 3 jam tangga , lelah . tetapi kamar nya mantap , bersih , nyaman , dan tenang buat istirahat . puas banget inap disini . | (kamar nya, mantap, positive); (kamar nya, bersih, positive); (kamar nya, nyaman, positive); (kamar nya, tenang, positive)
payah . pelayanan kurang , tetapi bahkan ngotot nahan uang deposit . | (pelayanan, kurang, negative)
fasilitas lengkap , pelayanan oke , tetapi kolam renang kurang bersih , tidak dapat snack airy seperti dulu dan lebih keren lagi kalau ada slippers . | (fasilitas, lengkap, positive); (pelayanan, oke, positive); (kolam renang, kurang bersih, negative); (snack airy, tidak dapat, negative)
mantaap . airy room memang gila . | 
tempat nya bagus cuma sebelah studio musik jadi lumayan berisik . | (tempat nya, bagus, positive)
kamar luas , lokasi strategis , pelayanan standar , kebersihan toilet dan kamar mandi harus lebih ditingkatkan . | (kamar, luas, positive); (lokasi, strategis, positive); (pelayanan, standar, negative); (kebersihan toilet, harus lebih ditingkatkan, negative); (kamar mandi, harus lebih ditingkatkan, negative)
pemilik penginapan ramah dan kamarnya bersih , sangat memuaskan . | (pemilik penginapan, ramah, positive); (kamarnya, bersih, positive)
kamar bersih , pelayanan baik , overall sesuai dengan yang diharapkan . | (kamar, bersih, positive); (pelayanan, baik, positive); (overall, sesuai, positive)
secara umum bagus , cuma seprai , sarung bantal dan handuk tidak layak . maaf . | (secara umum, bagus, positive); (seprai, tidak layak, negative); (sarung bantal, tidak layak, negative); (handuk, tidak layak, negative)
harga bersaing . | (harga, bersaing, positive)
plus : petugasnya ramah dan sigap , kamar cukup bersih , kasur nyaman , suasana tenang , sarapannya bervariasi dan enak , tersedia lift dan welcome drink . | (petugasnya, ramah, positive); (petugasnya, sigap, positive); (kamar, cukup bersih, positive); (kasur, nyaman, positive); (suasana, tenang, positive); (sarapannya, bervariasi, positive); (sarapannya, enak, positive); (lift, tersedia, positive); (welcome drink, tersedia, positive)
tempat bersih dan nyaman . | (tempat, bersih, positive); (tempat, nyaman, positive)
televisi dan pendingin ruangannya tidak berfungsi dengan baik , sehingga mengurangi rasa nyaman costumer saat menginap . semoga kedepannya bisa lebih baik lagi . | (televisi, tidak berfungsi dengan baik, negative); (pendingin ruangannya, tidak berfungsi dengan baik, negative)
kamar bersih , kamar mandi bersih , pelayanan ramah . recommended . | (kamar, bersih, positive); (kamar mandi, bersih, positive); (pelayanan, ramah, positive); (pelayanan, recommended, positive)
tv tidak ada remotenya . | (remotenya, tidak ada, negative)
kamar mandi kotor . | (kamar mandi, kotor, negative)
suasana nya nyaman serta akses kemana mana dekat . | (suasana nya, nyaman, positive)
saya sangat puas pertama kali menginap 2 malam di airy rooms . fasilitas lengkap , bersih , rapi dan nyaman banget pokoknya baru kali ini saya menginap seperti di hotel berbintang dengan harga yang sangat terjangkau sukses terus iya perbanyak diskon biar saya seringsering menginap , betah banget ! | (fasilitas, lengkap, positive)
ac panas , jet washer closet bocor , semburan air dari head shower kurang baik dan tidak merata . jelas pihak hotel tidak melakukan perawatan dengan memadai . sarapan baru siap jam 8 pagi , tidak ada informasi saat pembelian . saya meninggalkan penginapan pukul 7.45 sehingga siasia membayar lebih untuk sarapan . | (ac, panas, negative); (jet washer closet, bocor, negative); (shower, kurang baik, negative); (shower, tidak merata, negative)
penjaga nya ramah tetapi kamar kurang bersih dan lantai nya kotor . | (penjaga nya, ramah, positive); (kamar, kurang bersih, negative); (lantai nya, kotor, negative)
cukup oke pelayanannya . cuma handuknya kurang bersih . terima kasih . | (pelayanannya, cukup oke, positive); (handuknya, kurang bersih, negative)
sangat kecewa , dapat konfirmasi kamar ini penuh , padahal sebelum saya bayar masih ada 1 kamar kosong , mohon di perbaiki . | (kamar, penuh, negative)
saat saya memilih tempat ini , sangat mengecewakan dari pihak airy , karena pesanan kar saya di batalkan tibatiba . dengan alasan kamar telah penuh . padahal saya sudah memesan kamar hotel ini melalui airy dan sudah melakukan pembayaran . dan invoice saya sudah terbit . sangat kecewa dengan pihak airy . | (kamar, penuh, negative)
minta pindh yang gedung baru tidak bisa . seram penggap bau . | 
kebersihan kamar tolong diperhatikan . | (kebersihan kamar, tolong diperhatikan, negative)
fasbilitas perlu di perbaiki . | (fasbilitas, perlu di perbaiki, negative)
menu sarapannya enak . | (menu sarapannya, enak, positive)
kamar besar , rapi , bersih . | (kamar, besar, positive); (kamar, rapi, positive); (kamar, bersih, positive)
untuk kedua kalinya menginap disini , masih sama . hanya kmaren kamar tidak sempat di makeup , padahal biasanya langsung ditanyain dan aku sendiri lupa minta . sarapannya masih sama , cuma sudah ada perbaikan karena di telepon jadi tahu di dinning room atau diantar . still love this place , thank you ! | (sarapannya, sama, negative); (sarapannya, perbaikan, positive)
makanan enak banyak variasi , lokasi strategis , cuma sayangnya handuk di kamar mandi bau apek . | (makanan, enak, positive); (makanan, banyak variasi, positive); (lokasi, strategis, positive); (handuk, bau apek, negative)
staf yang ramah , dan sarapan yang lumayan enak . | (staf, ramah, positive); (sarapan, lumayan enak, positive)
tembok kamar kotor , channel tv buruk tidak bisa nonton banyak semut . tidak ada snack airy dan suasana kamar bukan airy style biru putih . | (tembok kamar, kotor, negative); (channel tv, buruk, negative); (snack airy, tidak ada, negative)
pengalaman menginap yang menggelikan . pesan kamar double dikasih twin . mau sholat juga bingung arahnya , karena di plafon kamarnya tidak ada petunjuk arah kiblat nya . | (pengalaman menginap, menggelikan, negative); (petunjuk arah kiblat nya, tidak ada, negative)
tempat bersih , rapi , nyaman , sesuai harga lah pokoknya , cuma wifi di atas tidak ada jadi mau wifian harus ke bawah , overall good . | (tempat, bersih, positive); (tempat, rapi, positive); (tempat, nyaman, positive); (harga, sesuai, positive); (wifi, tidak ada, negative); (overall, good, positive)
kamar luas dan lengkap . hanya tv nya masih tv tabung dan siaran lokal saja . | (kamar, luas, positive); (kamar, lengkap, positive)
tv nya tidak nyala , wifi juga tidak nyala . | (tv nya, tidak nyala, negative); (wifi, tidak nyala, negative)
ramah dan dekat pvj . | 
tempatnya nyaman dan bersih . cuma ketika masuk kamar , bau apek . saran saya supaya diberi pengharum ruangan . | (tempatnya, nyaman, positive); (tempatnya, bersih, positive); (kamar, bau apek, negative)
selimut apek , banyak nyamuk , toilet tidak bisa disiram . | (selimut, apek, negative); (selimut, banyak nyamuk, negative); (toilet, tidak bisa disiram, negative)
tidak fleksibel . | 
untuk kamar dengan harga kalau budget cukup memuaskan . hanya kurangnya tidak ada air panasnya dan kurang privasi . jadi kalau ada orang ngobrol di luar kedengaran dan cukup mengganggu . | (kamar, cukup memuaskan, positive); (air panasnya, tidak ada, negative)
ac nya kurang dingin . | (ac nya, kurang dingin, negative)
parkiran mobil lebih diperluas lagi . | (parkiran mobil, lebih diperluas lagi, negative)
lumayan memuaskan . | 
tempat strategis karena akses ke alunalun selatan sangat dekat . sangat puas . bapak penjaganya juga sangat ramah . | (tempat, strategis, positive); (penjaganya, sangat ramah, positive)
penginapan yang bagus dan unik , didalamnya bersih . makanan enak , dan pelayanan sangat memuaskan . bisa titip barang di lobi . | (penginapan, bagus, positive); (penginapan, unik, positive); (makanan, enak, positive); (pelayanan, sangat memuaskan, positive)
sarapannya enak . | (sarapannya, enak, positive)
kamarnya tidak sesuai dengan apa yang digambar , ac nya tidak terasa , inap dhotel ini kyak inap dikmar rumah saja . | (kamarnya, tidak sesuai, negative); (ac nya, tidak terasa, negative)
bersih , nyaman , lokasi strategis . | (lokasi, strategis, positive)
toilet jorok , staf kurang ramah , parkir susah . lebih baik coba cari hotel lain kalau mau menginap disini . | (toilet, jorok, negative); (staf, kurang ramah, negative); (parkir, susah, negative)
agak kotor di kamar yang lantai 2 . | (kamar, agak kotor, negative)
baik . bersih . pelayanan cepat . | (pelayanan, cepat, positive)
nyaman , tetapi ac nya kurang dingin . mudahmudahan bisa ditingkatkan . terimakasih . | (ac nya, kurang dingin, negative)
lokasinya sangat bagus , breakfast tidak banyak pilihan tetapi rasanya masih enak . kamarnya cukup luas , hanya saja wifi tidak bisa dipakai di kamar , hanya di restoran . kolam renang kecil banget , bangunan sudah butuh renovasi tetapi cukup bersih . | (lokasinya, sangat bagus, positive); (breakfast, tidak banyak pilihan, negative); (breakfast, enak, positive); (kamarnya, cukup luas, positive); (wifi, tidak bisa dipakai, negative); (kolam renang, kecil banget, negative); (bangunan, cukup bersih, positive)
ternyata ini kos kosan yang disewakan harian . | 
tidak terlalu berisik meski di kuta . | 
ac di kamar nomor 10 tidak dingin . | (ac, tidak dingin, negative)
fasilitas , pelayanan , lokasi dan staf oke semua . | (fasilitas, oke, positive); (pelayanan, oke, positive); (lokasi, oke, positive); (staf, oke, positive)
kondisi kamar sudah baik , akan tetapi kalau ditingkatkan dengan adanya pengharum kamar mandi akan lebih baik lagi . | (kamar, baik, positive)
hotel di area persawahan bagus buat yang mau cari ketenangan . fasilitas lengkap . tetapi masih kotor dan banyak kerak dan debu di kamar dan kamar mandi saya coba maklumi karena sedang ada renovasi . | (hotel di area persawahan, bagus, positive); (fasilitas, lengkap, positive); (fasilitas, masih kotor, negative); (kamar, banyak kerak dan debu, negative); (kamar mandi, banyak kerak dan debu, negative)
sebaiknya handuk di kamar ada 2 , kemarin cuma di kasih 1 handuk . | (handuk, cuma di kasih 1, negative)
sayang tidak ada pilihan kamar merokok dan sarapan yang lain oke . | (kamar merokok, tidak ada, negative); (sarapan, oke, positive)
kata resepsionis tidak mendapat breakfast . saat check in masih harus menunggu diselesaikan kamarnya , padahal sudah sedikit lewat jam check in . | (breakfast, tidak mendapat, negative)
